0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:09 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:09 +0900] "GET /board/list?pageNum=6&amount=10&type=&keyword= HTTP/1.1" 200 29001
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:09 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:09 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:09 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:09 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:16 +0900] "GET /board/list?type=C&keyword=%EB%AA%A8%EB%8B%AC&pageNum=1&amount=10 HTTP/1.1" 200 28997
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:16 +0900] "GET /resources/vender/fontawesome-free//resources/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:16 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:16 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:16 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:16 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:16 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:19 +0900] "GET /board/get?pageNum=1&amount=10&type=C&keyword=%EB%AA%A8%EB%8B%AC&bno=2785321 HTTP/1.1" 200 21042
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:19 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:19 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:19 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:19 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:19 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:22 +0900] "GET /board/modify?bno=2785321&pageNum=1&amount=10&type=C&keyword=%EB%AA%A8%EB%8B%AC HTTP/1.1" 200 22069
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:22 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:22 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:22 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:22 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:22 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:23 +0900] "GET /board/remove HTTP/1.1" 405 801
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:23 +0900] "GET /board/remove HTTP/1.1" 405 801
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:23 +0900] "GET /board/remove HTTP/1.1" 405 801
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:24 +0900] "POST /board/remove HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:25 +0900] "GET /board/list?pageNum=1&amount=10&type=C&keyword=%EB%AA%A8%EB%8B%AC HTTP/1.1" 200 28998
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:25 +0900] "GET /resources/vender/fontawesome-free//resources/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:25 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:25 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:25 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:25 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [25/Nov/2020:21:03:25 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
