127.0.0.1 - - [30/Dec/2020:21:32:20 +0900] "GET / HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:32:21 +0900] "GET /WEB-INF/views/board/list.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:45 +0900] "GET /board/list HTTP/1.1" 200 29293
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:45 +0900] "GET /resources/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:45 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:45 +0900] "GET /resources/js/demo/datatables-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:46 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:54 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=5570663 HTTP/1.1" 200 29257
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:54 +0900] "GET /resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:54 +0900] "GET /resources/js/reply.js HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:54 +0900] "GET /resources/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:54 +0900] "DELETE /replies/20 HTTP/1.1" 500 3863
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:54 +0900] "GET /resources/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:55 +0900] "GET /replies/pages/5570663/1.json HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:55 +0900] "GET /replies/10.json HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:55 +0900] "GET /replies/pages/5570663/1.json HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:51:55 +0900] "PUT /replies/17 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:52:14 +0900] "GET /board/list?pageNum=1&amount=10&type=&keyword= HTTP/1.1" 200 29285
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:52:17 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=2785374 HTTP/1.1" 200 29263
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:52:17 +0900] "GET /replies/pages/2785374/1.json HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:52:17 +0900] "DELETE /replies/20 HTTP/1.1" 500 3863
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:52:17 +0900] "PUT /replies/17 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:52:17 +0900] "GET /replies/10.json HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:52:17 +0900] "GET /replies/pages/2785374/1.json HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:52:24 +0900] "GET /board/list?pageNum=1&amount=10&type=&keyword= HTTP/1.1" 200 29285
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:53:04 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=2785374 HTTP/1.1" 200 29263
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:53:04 +0900] "DELETE /replies/20 HTTP/1.1" 500 3863
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:53:04 +0900] "GET /replies/10.json HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:53:04 +0900] "PUT /replies/17 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:53:04 +0900] "GET /replies/pages/2785374/1.json HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:53:04 +0900] "GET /replies/pages/2785374/1.json HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [30/Dec/2020:21:57:15 +0900] "GET /replies/12.json HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:02:07 +0900] "GET /board/list?pageNum=1&amount=10&type=&keyword= HTTP/1.1" 200 29285
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:03:52 +0900] "GET /board/list?pageNum=1&amount=10&type=&keyword= HTTP/1.1" 200 29285
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:03:56 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=2785374 HTTP/1.1" 200 29263
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:03:56 +0900] "DELETE /replies/20 HTTP/1.1" 500 3863
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:03:56 +0900] "GET /replies/pages/2785374/1.json HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:03:56 +0900] "PUT /replies/17 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:03:56 +0900] "GET /replies/10.json HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:03:56 +0900] "GET /replies/pages/2785374/1.json HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:04:00 +0900] "GET /replies/12.json HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:20:25 +0900] "GET /board/list?pageNum=1&amount=10&type=&keyword= HTTP/1.1" 200 29285
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:21:22 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=5570663 HTTP/1.1" 200 29257
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:21:22 +0900] "PUT /replies/17 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:21:22 +0900] "DELETE /replies/20 HTTP/1.1" 500 3863
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:21:22 +0900] "GET /replies/10.json HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:21:22 +0900] "GET /replies/pages/5570663/1.json HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:21:22 +0900] "GET /replies/pages/5570663/1.json HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:36:23 +0900] "POST /replies/new HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:36:23 +0900] "POST /replies/new HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:36:23 +0900] "POST /replies/new HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:36:23 +0900] "POST /replies/new HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [30/Dec/2020:22:36:23 +0900] "POST /replies/new HTTP/1.1" 200 7
