127.0.0.1 - - [02/Mar/2021:22:21:38 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:21:40 +0900] "GET /WEB-INF/views/board/get.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /board/list HTTP/1.1" 200 33725
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /resources/bower_components/datatables-responsive/css/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /resources/bower_components/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /resources/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /resources/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /resources/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /resources/bower_components/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /resources/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /resources/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /resources/bower_components/datatables/media/js/jquery.dataTables.min.js HTTP/1.1" 200 79457
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:49 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/bower_components/datatables-responsive/css/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/bower_components/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=21 HTTP/1.1" 200 34290
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/bower_components/datatables/media/js/jquery.dataTables.min.js HTTP/1.1" 200 79457
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/bower_components/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /resources/js/reply.js HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "POST /replies/new HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:53 +0900] "GET /accessError HTTP/1.1" 404 675
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /replies/1.json HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /board/getAttachList?bno=21 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /replies/pages/21/1.json HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /replies/pages/21/1.json HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /board/list?pageNum=1&amount=10&keyword=&type= HTTP/1.1" 200 33725
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /resources/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /resources/bower_components/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /resources/bower_components/datatables-responsive/css/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /resources/bower_components/metisMenu/dist/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /resources/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:54 +0900] "GET /resources/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [02/Mar/2021:22:22:55 +0900] "GET /resources/bower_components/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
