127.0.0.1 - - [22/Nov/2020:18:58:45 +0900] "GET / HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:47 +0900] "GET /WEB-INF/views/board/list.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:57 +0900] "GET /resources/vender/fontawesome-free//resources/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:57 +0900] "GET /board/list/ HTTP/1.1" 200 28720
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:57 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:57 +0900] "GET /resources/css/sb-admin-2.min.css HTTP/1.1" 200 169306
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:57 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:57 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:57 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:57 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:57 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:57 +0900] "GET /resources/js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:58 +0900] "GET /board/list/ HTTP/1.1" 200 28720
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:58 +0900] "GET /resources/vender/fontawesome-free//resources/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:58 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:58 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:58 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:58 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:18:58:58 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /board/register HTTP/1.1" 200 19846
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 58935
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 81084
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /resources/vendor/fontawesome-free/webfonts/fa-solid-900.eot? HTTP/1.1" 200 204866
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /resources/vendor/fontawesome-free/webfonts/fa-regular-400.eot? HTTP/1.1" 200 34390
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:22 +0900] "GET /resources/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:27 +0900] "POST /board/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:27 +0900] "GET /resources/vender/fontawesome-free//resources/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:27 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:27 +0900] "GET /board/list?pageNum=1&amount=10 HTTP/1.1" 200 28709
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:27 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:27 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:27 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:27 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:28 +0900] "GET /board/5570681 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:31 +0900] "GET /resources/vender/fontawesome-free//resources/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:31 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:31 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:31 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:31 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:31 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:00:58 +0900] "GET /board/5570663 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:01:01 +0900] "GET /board/5570663 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:01:01 +0900] "GET /resources/vender/fontawesome-free//resources/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Nov/2020:19:01:01 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
