127.0.0.1 - - [24/Nov/2020:19:26:15 +0900] "GET / HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:17 +0900] "GET /WEB-INF/classes/org/zerock/controller/BoardController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:51 +0900] "GET /resources/vender/fontawesome-free//resources/css/all.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:51 +0900] "GET /resources/css/sb-admin-2.min.css HTTP/1.1" 200 169306
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:51 +0900] "GET /board/list HTTP/1.1" 200 28705
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:51 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:51 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:51 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:51 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:51 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:51 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:51 +0900] "GET /resources/js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:54 +0900] "GET /board/get?pageNum=1&amount=10&type=+&keyword=+&bno=5570681 HTTP/1.1" 200 21006
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:54 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:54 +0900] "GET /resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 58935
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:54 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 81084
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:54 +0900] "GET /resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [24/Nov/2020:19:26:54 +0900] "GET /resources/vendor/fontawesome-free/webfonts/fa-solid-900.eot? HTTP/1.1" 200 204866
