127.0.0.1 - - [01/Nov/2020:17:48:45 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:48:47 +0900] "GET /WEB-INF/views/board/get.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:07 +0900] "GET /board/get HTTP/1.1" 400 919
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:07 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /board/get?bno=5 HTTP/1.1" 200 20347
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/css/sb-admin-2.min.css HTTP/1.1" 200 169306
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 58935
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 81084
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80328
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:56:13 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:17 +0900] "GET /board/index.html HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:18 +0900] "GET /board/get?bno=5 HTTP/1.1" 200 20761
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:18 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:18 +0900] "GET /resources/css/sb-admin-2.min.css HTTP/1.1" 200 169306
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:18 +0900] "GET /resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 58935
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:18 +0900] "GET /resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:18 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 81084
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:18 +0900] "GET /resources/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:18 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:18 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:18 +0900] "GET /resources/js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:18 +0900] "GET /resources/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80328
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:30 +0900] "GET /board/regster HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:34 +0900] "GET /board/register HTTP/1.1" 200 19846
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:34 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:34 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:34 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:34 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:34 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:35 +0900] "GET /resources/vender/bootstrap//resources/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:35 +0900] "GET /resources/vender/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:35 +0900] "GET /resources/vender/datatables/jquery.dataTables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:15:35 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:16:03 +0900] "POST /board/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:16:03 +0900] "GET /resources/vender/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2020:19:16:03 +0900] "GET /resources/vender/fontawesome-free//resources/css/all.min.css HTTP/1.1" 404 721
